NAME,state,population_2016,population_2021,2016_to_2021_population_chg
25035,54,1082.0,817.0,-0.24491682070240295
25036,54,593.0,179.0,-0.6981450252951096
25162,54,462.0,338.0,-0.2683982683982684
25414,54,17562.0,19731.0,0.1235052955244278
25565,54,702.0,680.0,-0.031339031339031376
25840,54,7819.0,7338.0,-0.06151681800741782
25989,54,499.0,255.0,-0.4889779559118237
25082,54,1816.0,1766.0,-0.02753303964757714
25061,54,750.0,541.0,-0.2786666666666666
25062,54,150.0,162.0,0.08000000000000007
25093,54,182.0,177.0,-0.027472527472527486
25112,54,141.0,106.0,-0.24822695035460995
25142,54,259.0,468.0,0.8069498069498069
25156,54,71.0,12.0,-0.8309859154929577
25180,54,14.0,321.0,21.928571428571427
25185,54,956.0,803.0,-0.16004184100418406
25201,54,29.0,69.0,1.3793103448275863
25203,54,71.0,112.0,0.5774647887323943
25403,54,13432.0,13718.0,0.021292435973793822
25404,54,22602.0,21910.0,-0.03061675957879839
25405,54,13363.0,15275.0,0.14308164334356066
25432,54,112.0,124.0,0.1071428571428572
25690,54,310.0,925.0,1.9838709677419355
25810,54,308.0,28.0,-0.9090909090909091
25811,54,142.0,29.0,-0.795774647887324
18342,42,441.0,543.0,0.23129251700680276
18371,42,1173.0,665.0,-0.43307757885763
18454,42,4.0,94.0,22.5
18463,42,224.0,242.0,0.0803571428571428
18843,42,273.0,229.0,-0.16117216117216115
18902,42,21098.0,22285.0,0.056261256991184005
18912,42,246.0,188.0,-0.2357723577235772
18913,42,99.0,243.0,1.4545454545454546
18935,42,0.0,317.0,inf
18950,42,197.0,60.0,-0.6954314720812182
18225,42,125.0,0.0,-1.0
18229,42,8975.0,8988.0,0.0014484679665738298
18947,42,6254.0,6258.0,0.0006395906619762748
18976,42,19809.0,22325.0,0.12701297390075217
18980,42,506.0,176.0,-0.6521739130434783
18324,42,8934.0,9587.0,0.07309156033131847
18331,42,613.0,430.0,-0.2985318107667211
18346,42,2617.0,2605.0,-0.004585403133358756
18445,42,2577.0,2437.0,-0.054326736515327934
18446,42,3493.0,3361.0,-0.03778986544517604
18457,42,205.0,123.0,-0.4
18466,42,17629.0,17492.0,-0.007771285949288109
18470,42,1978.0,1901.0,-0.03892821031344795
18507,42,4910.0,5480.0,0.11608961303462317
18614,42,2455.0,1831.0,-0.2541751527494909
18615,42,1873.0,1757.0,-0.061932728243459745
21904,24,7192.0,6386.0,-0.11206896551724133
21542,24,686.0,154.0,-0.7755102040816326
21543,24,102.0,335.0,2.284313725490196
21562,24,2990.0,3093.0,0.03444816053511701
21622,24,637.0,645.0,0.012558869701726927
21639,24,4379.0,4881.0,0.11463804521580268
21662,24,582.0,641.0,0.10137457044673548
21677,24,535.0,570.0,0.06542056074766345
21679,24,456.0,261.0,-0.4276315789473685
21717,24,36.0,181.0,4.027777777777778
21733,24,892.0,914.0,0.024663677130044803
21769,24,11476.0,12486.0,0.08800975949808287
21755,24,5672.0,5697.0,0.004407616361072009
21788,24,11827.0,11598.0,-0.019362475691214964
21791,24,5532.0,4794.0,-0.13340563991323207
21814,24,471.0,180.0,-0.6178343949044586
21826,24,5391.0,5460.0,0.012799109627156469
21837,24,2991.0,3164.0,0.057840187228351825
21771,24,29220.0,31755.0,0.08675564681724857
21782,24,4098.0,4358.0,0.06344558321132254
21784,24,39115.0,36809.0,-0.058954365332992476
21793,24,10250.0,10862.0,0.059707317073170785
21829,24,584.0,365.0,-0.375
21835,24,517.0,328.0,-0.36557059961315286
21840,24,628.0,465.0,-0.25955414012738853
21850,24,2669.0,3405.0,0.2757587111277633
21853,24,11394.0,10510.0,-0.07758469369843779
21867,24,33.0,0.0,-1.0
21911,24,10678.0,11108.0,0.04026971342948116
21913,24,1036.0,935.0,-0.09749034749034746
26410,54,986.0,796.0,-0.19269776876267752
26421,54,186.0,186.0,0.0
26444,54,3629.0,3540.0,-0.024524662441443912
26451,54,851.0,456.0,-0.46415981198589895
26456,54,3706.0,3317.0,-0.1049649217485159
26508,54,33105.0,38898.0,0.17498867240598104
26542,54,2584.0,1947.0,-0.24651702786377705
26543,54,255.0,200.0,-0.21568627450980393
26568,54,620.0,676.0,0.0903225806451613
26571,54,2413.0,1723.0,-0.2859510982179859
26572,54,354.0,491.0,0.38700564971751406
26761,54,486.0,748.0,0.5390946502057614
26764,54,3742.0,4564.0,0.219668626402993
26817,54,280.0,649.0,1.317857142857143
26865,54,123.0,483.0,2.926829268292683
26636,54,422.0,493.0,0.16824644549763024
26638,54,152.0,173.0,0.13815789473684204
26660,54,330.0,411.0,0.24545454545454537
26720,54,90.0,212.0,1.3555555555555556
26755,54,874.0,422.0,-0.517162471395881
26802,54,1271.0,789.0,-0.3792289535798584
26847,54,6299.0,5825.0,-0.07525003968883948
26055,54,1970.0,1104.0,-0.4395939086294416
26133,54,1453.0,1256.0,-0.1355815554026153
26137,54,594.0,717.0,0.20707070707070696
26142,54,2806.0,2382.0,-0.1511047754811119
26147,54,2112.0,1742.0,-0.17518939393939392
26175,54,3462.0,3454.0,-0.0023108030040439598
26202,54,651.0,422.0,-0.3517665130568356
18458,42,2875.0,3617.0,0.2580869565217392
18503,42,1256.0,1230.0,-0.02070063694267521
18509,42,13620.0,14336.0,0.052569750367107204
18512,42,11695.0,12811.0,0.09542539546814877
18657,42,11933.0,11247.0,-0.057487639319534045
18702,42,39618.0,42772.0,0.07961027815639365
18705,42,14592.0,15334.0,0.05084978070175428
18814,42,200.0,193.0,-0.03500000000000003
18821,42,1179.0,1157.0,-0.018659881255301047
18822,42,3518.0,3163.0,-0.10090960773166568
18828,42,336.0,238.0,-0.29166666666666663
18832,42,1994.0,1720.0,-0.13741223671013036
18842,42,291.0,162.0,-0.44329896907216493
18845,42,323.0,498.0,0.541795665634675
18847,42,5682.0,5287.0,-0.0695177754311862
18854,42,1277.0,1584.0,0.24040720438527807
18942,42,3174.0,2554.0,-0.19533711405166987
18944,42,25190.0,27076.0,0.07487098054783647
18974,42,41024.0,42544.0,0.03705148205928244
18938,42,13861.0,14115.0,0.018324796190751114
18940,42,29114.0,29664.0,0.01889125506629119
18642,42,4353.0,3814.0,-0.12382265104525614
18655,42,5853.0,5395.0,-0.07825046984452422
18660,42,3564.0,3342.0,-0.062289562289562284
18618,42,3625.0,3627.0,0.0005517241379311422
18517,42,5503.0,5210.0,-0.05324368526258405
18603,42,19438.0,19524.0,0.004424323490070936
18610,42,4096.0,4385.0,0.070556640625
18622,42,246.0,159.0,-0.35365853658536583
26291,54,95.0,98.0,0.03157894736842115
26408,54,2999.0,2367.0,-0.2107369123041014
26705,54,870.0,671.0,-0.22873563218390802
26707,54,318.0,254.0,-0.20125786163522008
26719,54,2704.0,2288.0,-0.15384615384615385
26801,54,1298.0,1065.0,-0.17950693374422189
26808,54,903.0,534.0,-0.40863787375415284
26814,54,372.0,511.0,0.3736559139784945
26836,54,6694.0,6221.0,-0.0706602927995219
26852,54,782.0,1088.0,0.3913043478260869
26374,54,1153.0,1877.0,0.6279271465741543
26537,54,5475.0,5760.0,0.05205479452054784
26710,54,2549.0,2538.0,-0.004315417810906275
26716,54,814.0,881.0,0.0823095823095823
26717,54,1039.0,1389.0,0.3368623676612128
26743,54,1866.0,1624.0,-0.12968917470525188
26750,54,763.0,873.0,0.1441677588466579
26560,54,252.0,150.0,-0.40476190476190477
26335,54,1319.0,1448.0,0.09780136467020473
26254,54,330.0,138.0,-0.5818181818181818
26563,54,487.0,277.0,-0.4312114989733059
26591,54,1181.0,1891.0,0.6011854360711262
26178,54,444.0,227.0,-0.48873873873873874
26425,54,1218.0,973.0,-0.20114942528735635
26559,54,1194.0,1568.0,0.3132328308207706
26631,54,474.0,176.0,-0.6286919831223629
26030,54,602.0,591.0,-0.01827242524916939
26170,54,5921.0,6374.0,0.07650734673197102
26268,54,57.0,58.0,0.01754385964912286
19902,10,396.0,239.0,-0.3964646464646465
19904,10,33766.0,37940.0,0.12361547118403138
19933,10,9818.0,10427.0,0.062028926461601186
19508,42,15783.0,15352.0,-0.02730786289045173
19560,42,7946.0,8993.0,0.13176440976591985
19804,10,17651.0,18123.0,0.026740694578210933
19975,10,8735.0,9610.0,0.10017172295363475
19022,42,4052.0,3934.0,-0.02912142152023689
19067,42,51628.0,52862.0,0.023901758735569878
19116,42,33212.0,33573.0,0.010869565217391353
19555,42,3437.0,3374.0,-0.018329938900203624
19565,42,9153.0,8139.0,-0.1107833497214028
19601,42,34336.0,35845.0,0.043948042870456616
19608,42,22431.0,23620.0,0.05300699924212027
19706,10,2012.0,1936.0,-0.03777335984095431
19020,42,55339.0,56866.0,0.02759355969569377
19943,10,12503.0,12581.0,0.006238502759337683
19115,42,32583.0,35901.0,0.10183224380812073
19120,42,76459.0,73896.0,-0.03352123360232284
19501,42,966.0,1178.0,0.21946169772256718
19074,42,5900.0,5920.0,0.003389830508474523
19017,42,263.0,261.0,-0.0076045627376425395
19060,42,11125.0,11007.0,-0.010606741573033762
19375,42,63.0,138.0,1.1904761904761907
19383,42,2999.0,4559.0,0.5201733911303767
19456,42,902.0,166.0,-0.8159645232815964
19477,42,125.0,39.0,-0.688
19535,42,37.0,61.0,0.6486486486486487
85931,04,179.0,235.0,0.3128491620111731
88121,35,79.0,184.0,1.3291139240506329
88125,35,70.0,77.0,0.10000000000000009
88136,35,48.0,26.0,-0.45833333333333337
88230,35,5131.0,4827.0,-0.05924770999805107
88252,35,2217.0,2156.0,-0.02751465944970677
88348,35,287.0,755.0,1.6306620209059233
88350,35,299.0,175.0,-0.4147157190635451
88417,35,44.0,75.0,0.7045454545454546
88055,35,7.0,41.0,4.857142857142857
88318,35,322.0,314.0,-0.024844720496894457
88415,35,3494.0,3225.0,-0.07698912421293647
88260,35,15082.0,15314.0,0.015382575255271203
88345,35,8368.0,8415.0,0.005616634799235243
88007,35,23130.0,24233.0,0.04768698659749249
88028,35,404.0,237.0,-0.4133663366336634
88034,35,114.0,27.0,-0.7631578947368421
88046,35,855.0,757.0,-0.11461988304093562
88081,35,16018.0,16310.0,0.018229491821700528
88103,35,341.0,0.0,-1.0
88203,35,30551.0,30045.0,-0.01656246931360672
88311,35,1403.0,1057.0,-0.24661439771917315
88342,35,117.0,0.0,-1.0
88349,35,12.0,0.0,-1.0
88355,35,0.0,117.0,inf
88130,35,18484.0,17795.0,-0.037275481497511365
88250,35,257.0,298.0,0.1595330739299612
88339,35,668.0,670.0,0.0029940119760478723
88038,35,323.0,404.0,0.25077399380804954
88048,35,2966.0,3116.0,0.050573162508428915
88124,35,1101.0,856.0,-0.22252497729336962
88005,35,28683.0,28647.0,-0.0012550988390335194
88118,35,262.0,309.0,0.17938931297709915
88263,35,107.0,172.0,0.6074766355140186
83709,16,54962.0,56541.0,0.028728939994905556
83713,16,30594.0,29839.0,-0.024678041446035137
83714,16,20886.0,25050.0,0.1993679977018099
83716,16,16927.0,20243.0,0.1959000413540497
83802,16,158.0,132.0,-0.16455696202531644
83803,16,838.0,693.0,-0.17303102625298328
83822,16,1884.0,2146.0,0.13906581740976653
83864,16,18065.0,18462.0,0.02197619706615006
83824,16,323.0,411.0,0.27244582043343657
83839,16,1225.0,1049.0,-0.14367346938775505
83851,16,1713.0,1940.0,0.13251605370694697
83452,16,1667.0,2093.0,0.2555488902219556
83522,16,2321.0,2629.0,0.1327014218009479
83541,16,984.0,1026.0,0.04268292682926833
83549,16,671.0,604.0,-0.09985096870342769
83617,16,15329.0,16551.0,0.07971818122512886
83622,16,1901.0,2083.0,0.09573908469226722
83631,16,849.0,1144.0,0.3474676089517079
83641,16,3409.0,3998.0,0.17277794074508646
83651,16,32836.0,36139.0,0.1005908149591912
